image_path,label
E:\E-Waste\train\Battery\battery_208.jpg,Battery
E:\E-Waste\train\Battery\battery_209.jpg,Battery
E:\E-Waste\train\Battery\battery_21.jpg,Battery
E:\E-Waste\train\Battery\battery_210.jpg,Battery
E:\E-Waste\train\Battery\battery_212.jpg,Battery
E:\E-Waste\train\Battery\battery_213.jpg,Battery
E:\E-Waste\train\Battery\battery_214.jpg,Battery
E:\E-Waste\train\Battery\battery_215.jpg,Battery
E:\E-Waste\train\Battery\battery_216.jpg,Battery
E:\E-Waste\train\Battery\battery_217.jpg,Battery
E:\E-Waste\train\Battery\battery_218.jpg,Battery
E:\E-Waste\train\Battery\battery_219.jpg,Battery
E:\E-Waste\train\Battery\battery_220.jpg,Battery
E:\E-Waste\train\Battery\battery_221.jpg,Battery
E:\E-Waste\train\Battery\battery_222.jpg,Battery
E:\E-Waste\train\Battery\battery_223.jpg,Battery
E:\E-Waste\train\Battery\battery_225.jpg,Battery
E:\E-Waste\train\Battery\battery_227.jpg,Battery
E:\E-Waste\train\Battery\battery_228.jpg,Battery
E:\E-Waste\train\Battery\battery_230.jpg,Battery
E:\E-Waste\train\Battery\battery_231.jpg,Battery
E:\E-Waste\train\Battery\battery_232.jpg,Battery
E:\E-Waste\train\Battery\battery_233.jpg,Battery
E:\E-Waste\train\Battery\battery_234.jpg,Battery
E:\E-Waste\train\Battery\battery_235.jpg,Battery
E:\E-Waste\train\Battery\battery_236.jpg,Battery
E:\E-Waste\train\Battery\battery_237.jpg,Battery
E:\E-Waste\train\Battery\battery_238.jpg,Battery
E:\E-Waste\train\Battery\battery_240.jpg,Battery
E:\E-Waste\train\Battery\battery_243.jpg,Battery
E:\E-Waste\train\Battery\battery_244.jpg,Battery
E:\E-Waste\train\Battery\battery_245.jpg,Battery
E:\E-Waste\train\Battery\battery_246.jpg,Battery
E:\E-Waste\train\Battery\battery_248.jpg,Battery
E:\E-Waste\train\Battery\battery_249.jpg,Battery
E:\E-Waste\train\Battery\battery_25.jpg,Battery
E:\E-Waste\train\Battery\battery_250.jpg,Battery
E:\E-Waste\train\Battery\battery_252.jpg,Battery
E:\E-Waste\train\Battery\battery_253.jpg,Battery
E:\E-Waste\train\Battery\battery_254.jpg,Battery
E:\E-Waste\train\Battery\battery_255.jpg,Battery
E:\E-Waste\train\Battery\battery_256.jpg,Battery
E:\E-Waste\train\Battery\battery_257.jpg,Battery
E:\E-Waste\train\Battery\battery_258.jpg,Battery
E:\E-Waste\train\Battery\battery_26.jpg,Battery
E:\E-Waste\train\Battery\battery_261.jpg,Battery
E:\E-Waste\train\Battery\battery_262.jpg,Battery
E:\E-Waste\train\Battery\battery_263.jpg,Battery
E:\E-Waste\train\Battery\battery_268.jpg,Battery
E:\E-Waste\train\Battery\battery_269.jpg,Battery
E:\E-Waste\train\Battery\battery_27.jpg,Battery
E:\E-Waste\train\Battery\battery_270.jpg,Battery
E:\E-Waste\train\Battery\battery_271.jpg,Battery
E:\E-Waste\train\Battery\battery_272.jpg,Battery
E:\E-Waste\train\Battery\battery_273.jpg,Battery
E:\E-Waste\train\Battery\battery_274.jpg,Battery
E:\E-Waste\train\Battery\battery_276.jpg,Battery
E:\E-Waste\train\Battery\battery_278.jpg,Battery
E:\E-Waste\train\Battery\battery_28.jpg,Battery
E:\E-Waste\train\Battery\battery_281.jpg,Battery
E:\E-Waste\train\Battery\battery_283.jpg,Battery
E:\E-Waste\train\Battery\battery_285.jpg,Battery
E:\E-Waste\train\Battery\battery_287.jpg,Battery
E:\E-Waste\train\Battery\battery_288.jpg,Battery
E:\E-Waste\train\Battery\battery_289.jpg,Battery
E:\E-Waste\train\Battery\battery_29.jpg,Battery
E:\E-Waste\train\Battery\battery_290.jpg,Battery
E:\E-Waste\train\Battery\battery_291.jpg,Battery
E:\E-Waste\train\Battery\battery_292.jpg,Battery
E:\E-Waste\train\Battery\battery_293.jpg,Battery
E:\E-Waste\train\Battery\battery_295.jpg,Battery
E:\E-Waste\train\Battery\battery_296.jpg,Battery
E:\E-Waste\train\Battery\battery_297.jpg,Battery
E:\E-Waste\train\Battery\battery_298.jpg,Battery
E:\E-Waste\train\Battery\battery_299.jpg,Battery
E:\E-Waste\train\Battery\battery_3.jpg,Battery
E:\E-Waste\train\Battery\battery_30.jpg,Battery
E:\E-Waste\train\Battery\battery_31.jpg,Battery
E:\E-Waste\train\Battery\battery_32.jpg,Battery
E:\E-Waste\train\Battery\battery_33.jpg,Battery
E:\E-Waste\train\Battery\battery_35.jpg,Battery
E:\E-Waste\train\Battery\battery_36.jpg,Battery
E:\E-Waste\train\Battery\battery_38.jpg,Battery
E:\E-Waste\train\Battery\battery_39.jpg,Battery
E:\E-Waste\train\Battery\battery_41.jpg,Battery
E:\E-Waste\train\Battery\battery_42.jpg,Battery
E:\E-Waste\train\Battery\battery_43.jpg,Battery
E:\E-Waste\train\Battery\battery_44.jpg,Battery
E:\E-Waste\train\Battery\battery_45.jpg,Battery
E:\E-Waste\train\Battery\battery_46.jpg,Battery
E:\E-Waste\train\Battery\battery_47.jpg,Battery
E:\E-Waste\train\Battery\battery_48.jpg,Battery
E:\E-Waste\train\Battery\battery_49.jpg,Battery
E:\E-Waste\train\Battery\battery_5.jpg,Battery
E:\E-Waste\train\Battery\battery_50.jpg,Battery
E:\E-Waste\train\Battery\battery_51.jpg,Battery
E:\E-Waste\train\Battery\battery_52.jpg,Battery
E:\E-Waste\train\Battery\battery_53.jpg,Battery
E:\E-Waste\train\Battery\battery_54.jpg,Battery
E:\E-Waste\train\Battery\battery_55.jpg,Battery
E:\E-Waste\train\Battery\battery_56.jpg,Battery
E:\E-Waste\train\Battery\battery_57.jpg,Battery
E:\E-Waste\train\Battery\battery_58.jpg,Battery
E:\E-Waste\train\Battery\battery_59.jpg,Battery
E:\E-Waste\train\Battery\battery_6.jpg,Battery
E:\E-Waste\train\Battery\battery_60.jpg,Battery
E:\E-Waste\train\Battery\battery_62.jpg,Battery
E:\E-Waste\train\Battery\battery_63.jpg,Battery
E:\E-Waste\train\Battery\battery_64.jpg,Battery
E:\E-Waste\train\Battery\battery_67.jpg,Battery
E:\E-Waste\train\Battery\battery_68.jpg,Battery
E:\E-Waste\train\Battery\battery_69.jpg,Battery
E:\E-Waste\train\Battery\battery_7.jpg,Battery
E:\E-Waste\train\Battery\battery_70.jpg,Battery
E:\E-Waste\train\Battery\battery_71.jpg,Battery
E:\E-Waste\train\Battery\battery_72.jpg,Battery
E:\E-Waste\train\Battery\battery_73.jpg,Battery
E:\E-Waste\train\Battery\battery_74.jpg,Battery
E:\E-Waste\train\Battery\battery_76.jpg,Battery
E:\E-Waste\train\Battery\battery_77.jpg,Battery
E:\E-Waste\train\Battery\battery_78.jpg,Battery
E:\E-Waste\train\Battery\battery_79.jpg,Battery
E:\E-Waste\train\Battery\battery_8.jpg,Battery
E:\E-Waste\train\Battery\battery_80.jpg,Battery
E:\E-Waste\train\Battery\battery_81.jpg,Battery
E:\E-Waste\train\Battery\battery_82.jpg,Battery
E:\E-Waste\train\Battery\battery_84.jpg,Battery
E:\E-Waste\train\Battery\battery_85.jpg,Battery
E:\E-Waste\train\Battery\battery_86.jpg,Battery
E:\E-Waste\train\Battery\battery_87.jpg,Battery
E:\E-Waste\train\Battery\battery_89.jpg,Battery
E:\E-Waste\train\Battery\battery_9.jpg,Battery
E:\E-Waste\train\Battery\battery_90.jpg,Battery
E:\E-Waste\train\Battery\battery_91.jpg,Battery
E:\E-Waste\train\Battery\battery_93.jpg,Battery
E:\E-Waste\train\Battery\battery_94.jpg,Battery
E:\E-Waste\train\Battery\battery_96.jpg,Battery
E:\E-Waste\train\Battery\battery_97.jpg,Battery
E:\E-Waste\train\Battery\battery_98.jpg,Battery
E:\E-Waste\train\Keyboard\Keyboard_0.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_1.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_10.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_100.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_101.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_102.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_104.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_107.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_109.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_11.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_110.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_111.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_112.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_113.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_114.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_115.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_116.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_117.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_119.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_12.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_120.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_121.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_123.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_124.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_125.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_126.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_127.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_13.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_131.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_132.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_133.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_134.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_135.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_136.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_137.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_138.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_139.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_14.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_140.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_141.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_142.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_143.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_144.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_145.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_149.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_15.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_151.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_153.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_154.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_155.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_156.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_157.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_158.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_159.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_16.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_160.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_161.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_162.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_163.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_164.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_165.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_166.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_167.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_168.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_17.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_170.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_171.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_172.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_173.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_175.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_176.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_178.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_179.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_18.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_180.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_181.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_182.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_183.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_184.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_185.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_186.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_187.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_188.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_19.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_191.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_193.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_194.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_195.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_196.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_197.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_199.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_2.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_20.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_200.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_201.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_202.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_203.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_204.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_205.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_206.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_207.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_208.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_209.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_21.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_210.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_212.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_213.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_214.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_215.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_216.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_217.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_218.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_219.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_220.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_221.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_222.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_223.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_225.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_227.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_228.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_230.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_231.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_232.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_233.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_234.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_235.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_236.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_237.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_238.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_240.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_243.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_244.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_245.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_246.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_248.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_249.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_25.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_250.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_252.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_253.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_254.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_255.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_256.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_257.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_258.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_26.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_261.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_262.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_263.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_268.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_269.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_27.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_270.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_271.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_272.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_273.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_274.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_276.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_278.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_28.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_281.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_283.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_285.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_287.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_288.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_289.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_29.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_290.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_291.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_292.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_293.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_295.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_296.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_297.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_298.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_299.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_3.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_30.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_31.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_32.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_33.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_35.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_36.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_38.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_39.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_41.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_42.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_43.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_44.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_45.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_46.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_47.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_48.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_49.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_5.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_50.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_51.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_52.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_53.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_54.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_55.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_56.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_57.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_58.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_59.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_6.jpg,Keyboard
E:\E-Waste\train\Keyboard\Keyboard_60.jpg,Keyboard
